CarDetailID,ProductID,CarColor,CarModelYear
54650882,8893,Goldenrod,2007
75517954,9444,Crimson,2010
16285705,253,Crimson,2011
15417354,1283,Fuscia,1990
78712844,8905,Teal,2009
32819214,8877,Crimson,2005
90963983,101,Indigo,1999
56190999,8854,Purple,2013
29474841,9043,Orange,2011
35870747,492,Crimson,1988
84250653,9212,Mauv,2002
64364573,7891,Crimson,2008
24119327,3334,Red,2011
33032224,8898,Turquoise,2008
28710948,4531,Khaki,2002
61065253,3327,Turquoise,2009
51892271,7975,Puce,2009
95359024,7029,Yellow,2012
19771439,2373,Aquamarine,2004
34342959,5839,Turquoise,1988
47372340,1459,Turquoise,2009
47761462,8464,Aquamarine,1996
99393593,7705,Fuscia,2009
70633535,8048,Puce,2003
15564865,5595,Turquoise,2012
50839623,3962,Turquoise,2009
94472267,480,Red,1996
65763413,7827,Orange,2011
59072599,4263,Maroon,1994
97333342,4533,Red,1983
38154341,1425,Fuscia,2010
17700966,3840,Turquoise,1984
15845479,8157,Pink,2001
81676394,6551,Indigo,1996
66328683,8142,Turquoise,2011
93380719,7609,Khaki,1999
30716016,5911,Green,1998
77242482,8736,Teal,2009
66717811,539,Fuscia,2002
67188852,9901,Goldenrod,1992
16545907,7763,Mauv,1993
78200952,9905,Aquamarine,2009
95584387,1351,Violet,1996
29210756,3792,Aquamarine,2007
79978632,3612,Orange,1987
94501004,2187,Orange,2009
35379343,983,Yellow,1997
24729744,1449,Goldenrod,1998
44224656,7701,Green,2002
69877906,8551,Goldenrod,1992
25467030,5587,Red,2006
46454936,9116,Red,2007
20248730,3420,Goldenrod,2008
14641307,5163,Red,1990
19245211,7900,Fuscia,2011
99344541,1402,Violet,2005
74186910,3562,Blue,2008
57243807,7772,Blue,2013
72026268,9085,Violet,2007
57395363,4681,Indigo,1993
22677668,8104,Fuscia,2002
73162918,5299,Yellow,2010
92655783,3987,Maroon,1996
81199274,4550,Aquamarine,2002
23976110,8174,Teal,2010
61452468,6995,Yellow,2005
44570805,8129,Goldenrod,2011
74975414,779,Purple,2006
76677301,7841,Blue,2000
46043321,9355,Turquoise,1999
